Year,Fiscal Deficit
1980-81,-26
1981-82,20
1982-83,30
1983-84,41
1984-85,-5
1985-86,-12
1986-87,30
1987-88,60
1988-89,48
1989-90,141
1990-91,102
1991-92,96
1992-93,138
1993-94,174
1994-95,239
1995-96,231
1996-97,184
1997-98,204
1998-99,243
1999-00,249
2000-01,359
2001-02,366
2002-03,440
2003-04,-160
2004-05,220
2005-06,310
2006-07,160
2007-08,400
2008-09,340
2009-10,520
2010-11,310
2011-12,540
2012-13,650
2013-14,460
2014-15 (RE),850
2015-16 (BE),"1,160"
