Year,Fiscal Deficit
1993-94,232
1994-95,389
1995-96,556
1996-97,690
1997-98,726
1998-99,959
1999-00,"1,382"
2000-01,"1,610"
2001-02,"1,733"
2002-03,"2,400"
2003-04,"2,440"
2004-05,"1,480"
2005-06,-250
2006-07,410
2007-08,"2,040"
2008-09,"2,820"
2009-10,"3,550"
2010-11,-730
2011-12,"2,550"
2012-13,"2,280"
2013-14,"3,940"
2014-15 (RE),350
2015-16 (BE),420
