Year,Fiscal Deficit
1986-87,61
1987-88,72
1988-89,64
1989-90,95
1990-91,96
1991-92,125
1992-93,90
1993-94,60
1994-95,45
1995-96,97
1996-97,104
1997-98,125
1998-99,269
1999-00,341
2000-01,413
2001-02,413
2002-03,380
2003-04,450
2004-05,550
2005-06,600
2006-07,490
2007-08,540
2008-09,810
2009-10,"1,240"
2010-11,570
2011-12,880
2012-13,"1,150"
2013-14,"1,350"
2014-15 (RE),"1,740"
2015-16 (BE),"2,710"
