Year,Fiscal Deficit
1980-81,-35
1981-82,57
1982-83,74
1983-84,58
1984-85,80
1985-86,35
1986-87,89
1987-88,129
1988-89,254
1989-90,226
1990-91,279
1991-92,224
1992-93,312
1993-94,152
1994-95,620
1995-96,521
1996-97,572
1997-98,"1,202"
1998-99,"1,662"
1999-00,190
2000-01,"1,845"
2001-02,"1,511"
2002-03,"2,340"
2003-04,"2,380"
2004-05,"1,810"
2005-06,720
2006-07,920
2007-08,550
2008-09,"2,280"
2009-10,"2,780"
2010-11,"1,830"
2011-12,"1,630"
2012-13,"2,980"
2013-14,"4,010"
2014-15 (RE),"3,830"
2015-16 (BE),"3,280"
