Year,Fiscal Deficit
2001-02,"1,643"
2002-03,"2,190"
2003-04,"1,660"
2004-05,"3,650"
2005-06,"4,920"
2006-07,"5,260"
2007-08,"6,220"
2008-09,"3,750"
2009-10,"1,780"
2010-11,"4,840"
2011-12,"1,930"
2012-13,"3,400"
2013-14,"2,220"
2014-15 (RE),"4,910"
2015-16 (BE),"5,160"
