Year,Fiscal Deficit
1986-87,23
1987-88,38
1988-89,1
1989-90,75
1990-91,26
1991-92,-20
1992-93,-9
1993-94,16
1994-95,73
1995-96,40
1996-97,70
1997-98,121
1998-99,55
1999-00,59
2000-01,210
2001-02,275
2002-03,210
2003-04,250
2004-05,390
2005-06,260
2006-07,-110
2007-08,-20
2008-09,330
2009-10,500
2010-11,-10
2011-12,990
2012-13,230
2013-14,"1,610"
2014-15 (RE),"3,560"
2015-16 (BE),510
