Year,Fiscal Deficit
1980-81,-9
1981-82,25
1982-83,17
1983-84,35
1984-85,12
1985-86,15
1986-87,15
1987-88,62
1988-89,84
1989-90,89
1990-91,86
1991-92,94
1992-93,23
1993-94,111
1994-95,110
1995-96,34
1996-97,122
1997-98,196
1998-99,118
1999-00,290
2000-01,445
2001-02,538
2002-03,540
2003-04,340
2004-05,240
2005-06,110
2006-07,-130
2007-08,20
2008-09,270
2009-10,-70
2010-11,250
2011-12,-260
2012-13,-340
2013-14,-50
2014-15 (RE),"1,320"
2015-16 (BE),"1,940"
