Year,Fiscal Deficit
1985-86,41
1986-87,-22
1987-88,102
1988-89,11
1989-90,-3
1990-91,-94
1991-92,5
1992-93,60
1993-94,8
1994-95,38
1995-96,71
1996-97,125
1997-98,124
1998-99,132
1999-00,179
2000-01,375
2001-02,422
2002-03,320
2003-04,310
2004-05,230
2005-06,400
2006-07,190
2007-08,390
2008-09,90
2009-10,310
2010-11,650
2011-12,210
2012-13,580
2013-14,750
2014-15 (RE),"2,000"
2015-16 (BE),110
