Year,Fiscal Deficit
1980-81,-7
1981-82,27
1982-83,17
1983-84,26
1984-85,15
1985-86,-9
1986-87,32
1987-88,17
1988-89,33
1989-90,71
1990-91,40
1991-92,69
1992-93,18
1993-94,-20
1994-95,62
1995-96,105
1996-97,168
1997-98,188
1998-99,106
1999-00,656
2000-01,234
2001-02,340
2002-03,250
2003-04,290
2004-05,450
2005-06,270
2006-07,480
2007-08,-100
2008-09,220
2009-10,730
2010-11,570
2011-12,"1,050"
2012-13,0
2013-14,-270
2014-15 (RE),930
2015-16 (BE),580
