Year,Fiscal Deficit
2000-01,-48
2001-02,"1,061"
2002-03,970
2003-04,"2,200"
2004-05,"1,230"
2005-06,430
2006-07,-30
2007-08,130
2008-09,"1,030"
2009-10,"1,760"
2010-11,-410
2011-12,800
2012-13,"2,660"
2013-14,"5,060"
2014-15 (RE),"5,770"
2015-16 (BE),"6,840"
