Year,Fiscal Deficit
1980-81,-27
1981-82,172
1982-83,200
1983-84,327
1984-85,367
1985-86,154
1986-87,243
1987-88,421
1988-89,303
1989-90,528
1990-91,568
1991-92,255
1992-93,208
1993-94,-18
1994-95,711
1995-96,652
1996-97,74
1997-98,142
1998-99,338
1999-00,"1,606"
2000-01,"1,540"
2001-02,"1,448"
2002-03,930
2003-04,"1,390"
2004-05,"2,060"
2005-06,-360
2006-07,-710
2007-08,-790
2008-09,"-1,410"
2009-10,"4,040"
2010-11,"1,990"
2011-12,"1,650"
2012-13,"1,520"
2013-14,"3,780"
2014-15 (RE),"16,260"
2015-16 (BE),"4,680"
