"Date","Total Equity","Domestic Equity","World Equity","municipal_bond"
"2007-01-31","27364","5723","21641","2834"
"2007-02-28","25306","8411","16895","3137"
"2007-03-31","6551","-486","7037","2857"
"2007-04-30","16063","-163","16225","1355"
"2007-05-31","-2876","-14176","11300","3598"
"2007-06-30","2775","-5905","8680","534"
"2007-07-31","9901","-5089","14990","198"
"2007-08-31","-16756","-18661","1906","-1175"
"2007-09-30","6759","-5216","11975","1502"
"2007-10-31","9339","-6602","15941","710"
"2007-11-30","-11257","-16247","4990","-1125"
"2007-12-31","158","-10048","10207","-3446"
"2008-01-31","-45203","-36503","-8700","2504"
"2008-02-29","8511","2122","6390","1213"
"2008-03-31","-9480","-8741","-739","2560"
"2008-04-30","11701","4567","7133","3481"
"2008-05-31","14582","5190","9392","5016"
"2008-06-30","-4413","-4383","-30","2617"
"2008-07-31","-25920","-18237","-7683","2485"
"2008-08-31","-19574","-1861","-17713","2422"
"2008-09-30","-49995","-27733","-22262","-631"
"2008-10-31","-70501","-44053","-26448","-8363"
"2008-11-30","-19704","-10561","-9143","-1174"
"2008-12-31","-19410","-8830","-10580","-4313"
"2009-01-31","8869","7168","1701","3865"
"2009-02-28","-24635","-13509","-11126","4360"
"2009-03-31","-24732","-15153","-9579","3527"
"2009-04-30","11498","9307","2192","5164"
"2009-05-31","17511","13398","4113","6643"
"2009-06-30","11850","5533","6317","5482"
"2009-07-31","9229","2633","6596","6910"
"2009-08-31","3620","-1585","5205","9213"
"2009-09-30","-1817","-4851","3034","10323"
"2009-10-31","-7199","-13802","6603","4942"
"2009-11-30","-2390","-8198","5809","5155"
"2009-12-31","-3756","-8574","4817","4795"
"2010-01-31","13961","4227","9734","4555"
"2010-02-28","24","-4932","4955","5063"
"2010-03-31","9935","2034","7902","4047"
"2010-04-30","10463","2526","7937","965"
"2010-05-31","-23353","-17747","-5606","2688"
"2010-06-30","-2857","-5262","2406","1938"
"2010-07-31","-11250","-10846","-404","3866"
"2010-08-31","-15040","-14158","-883","5193"
"2010-09-30","-8874","-12184","3310","2341"
"2010-10-31","675","-5841","6516","1984"
"2010-11-30","620","-6425","7045","-7673"
"2010-12-31","1281","-12537","13818","-13307"
"2011-01-31","18717","10777","7939","-12397"
"2011-02-28","11408","7368","4040","-4299"
"2011-03-31","2043","-5894","7937","-2628"
"2011-04-30","6210","1355","4855","-3714"
"2011-05-31","-4256","-6349","2093","-2"
"2011-06-30","-22265","-19875","-2390","893"
"2011-07-31","-31778","-29339","-2440","31"
"2011-08-31","-28147","-25093","-3054","-977"
"2011-09-30","-12604","-13821","1217","1650"
"2011-10-31","-20749","-18201","-2548","1979"
"2011-11-30","-18517","-13888","-4629","3199"
"2011-12-31","-29324","-20444","-8880","4648"
"2012-01-31","-672","-2837","2164","6660"
"2012-02-29","1465","-1618","3083","6375"
"2012-03-31","-10260","-12368","2108","3561"
"2012-04-30","-6618","-18439","11821","2663"
"2012-05-31","-8752","-11853","3101","4935"
"2012-06-30","-6436","-9319","2883","3989"
"2012-07-31","-9017","-9070","53","5451"
"2012-08-31","-18097","-14376","-3721","5468"
"2012-09-30","-24072","-19391","-4682","4061"
"2012-10-31","-16382","-14376","-2006","4914"
"2012-11-30","-23202","-19370","-3833","5250"
"2012-12-31","-30636","-26266","-4370","-3157"
"2013-01-31","37084","18076","19009","7181"
"2013-02-28","14465","-1289","15754","2506"
"2013-03-31","14974","2541","12433","-271"
"2013-04-30","5830","-678","6508","-1750"
"2013-05-31","6200","-3531","9731","-937"
"2013-06-30","6168","-4237","10404","-16573"
"2013-07-31","19350","9000","10351","-10233"
"2013-08-31","7440","-1026","8467","-12071"
"2013-09-30","4881","-3375","8256","-6433"
"2013-10-31","21041","8357","12684","-5395"
"2013-11-30","22326","6407","15918","-4459"
"2013-12-31","-207","-12182","11975","-10060"
"2014-01-31","23761","6966","16795","433"
"2014-02-28","19032","9402","9630","1681"
"2014-03-31","10440","2012","8428","1553"
"2014-04-30","6255","-481","6736","1190"
"2014-05-31","-229","-7169","6939","3545"
"2014-06-30","-2273","-10668","8394","2349"
"2014-07-31","-6469","-13806","7337","1409"
"2014-08-31","1172","-6497","7668","3256"
"2014-09-30","-5211","-13412","8201","3017"
"2014-10-31","5195","217","4979","2154"
"2014-11-30","-2508","-6096","3588","2966"
"2014-12-31","-23949","-20685","-3264","4435"
"2015-01-31","12443","6681","5762","4600"
"2015-02-28","8317","1423","6894","2705"
