Year,Revenue Deficit
2000-01,-271
2001-02,538
2002-03,113
2003-04,641
2004-05,-146
2005-06,"-1,381"
2006-07,"-2,647"
2007-08,"-3,039"
2008-09,"-1,870"
2009-10,-890
2010-11,"-3,360"
2011-12,"-3,240"
2012-13,"-2,610"
2013-14,810
2014-15,"-2,380"
2015-16 (RE),"-4,230"
