Year,Revenue Deficit
1980-81,-165
1981-82,37
1982-83,44
1983-84,137
1984-85,136
1985-86,6
1986-87,-61
1987-88,84
1988-89,62
1989-90,137
1990-91,144
1991-92,-270
1992-93,-162
1993-94,-416
1994-95,309
1995-96,200
1996-97,-285
1997-98,-287
1998-99,-90
1999-00,"1,005"
2000-01,780
2001-02,881
2002-03,319
2003-04,685
2004-05,292
2005-06,"-1,509"
2006-07,"-2,210"
2007-08,"-2,581"
2008-09,"-3,830"
2009-10,"1,350"
2010-11,-50
2011-12,-930
2012-13,"-1,550"
2013-14,-240
2014-15,"5,090"
2015-16 (RE),"-5,500"
