Year,Revenue Deficit
1980-81,-104
1981-82,-22
1982-83,-9
1983-84,-33
1984-85,-38
1985-86,-108
1986-87,-70
1987-88,-41
1988-89,70
1989-90,61
1990-91,95
1991-92,-10
1992-93,93
1993-94,-114
1994-95,308
1995-96,150
1996-97,155
1997-98,529
1998-99,"1,022"
1999-00,106
2000-01,"1,331"
2001-02,861
2002-03,"1,482"
2003-04,"1,607"
2004-05,"1,158"
2005-06,-92
2006-07,-191
2007-08,-850
2008-09,130
2009-10,800
2010-11,540
2011-12,-640
2012-13,580
2013-14,"1,640"
2014-15,"1,540"
2015-16 (RE),-50
