Year,Revenue Deficit
1986-87,1
1987-88,7
1988-89,-12
1989-90,11
1990-91,-7
1991-92,10
1992-93,-9
1993-94,-33
1994-95,-56
1995-96,-33
1996-97,-22
1997-98,14
1998-99,141
1999-00,209
2000-01,226
2001-02,229
2002-03,167
2003-04,140
2004-05,123
2005-06,22
2006-07,-141
2007-08,-166
2008-09,-100
2009-10,130
2010-11,-660
2011-12,-300
2012-13,220
2013-14,350
2014-15,-50
2015-16 (RE),-410
2016-17 (RE),
